date,open,close,high,low,volume
1982.4.29,121.16,121.16,121.16,121.16,435000
1982.4.30,121.4,121.4,121.4,121.4,416000
1982.5.3,119.76,119.76,119.76,119.76,428000
1982.5.4,117.68,117.68,117.68,117.68,900000
1982.5.6,114.35,114.35,114.35,114.35,864000
1982.5.7,115.07,115.07,115.07,115.07,898000
1982.5.8,116.41,116.41,116.41,116.41,794000
1982.5.10,113.14,113.14,113.14,113.14,963000
1982.5.11,112.49,112.49,112.49,112.49,1070000
1982.5.12,110.51,110.51,110.51,110.51,1350000
1982.5.13,109.28,109.28,109.28,109.28,1390000
1982.5.14,105.99,105.99,105.99,105.99,1650000
1982.5.15,107.94,107.94,107.94,107.94,975000
1982.5.17,112.25,112.25,112.25,112.25,382000
1982.5.18,113.83,113.83,113.83,113.83,2160000
1982.5.19,114.95,114.95,114.95,114.95,1970000
1982.5.20,117.4,117.4,117.4,117.4,2170000
1982.5.21,117.27,117.27,117.27,117.27,1980000
1982.5.22,117.39,117.39,117.39,117.39,750000
1982.5.24,115.39,115.39,115.39,115.39,746000
1982.5.25,115.6,115.6,115.6,115.6,771000
1982.5.26,115.56,115.56,115.56,115.56,659000
1982.5.27,114.16,114.16,114.16,114.16,1190000
1982.5.28,114.96,114.96,114.96,114.96,1020000
1982.5.29,114.73,114.73,114.73,114.73,481000
1982.5.31,114.57,114.57,114.57,114.57,563000
1982.6.1,116.13,116.13,116.13,116.13,909000
1982.6.2,117.15,117.15,117.15,117.15,1470000
1982.6.3,118.32,118.32,118.32,118.32,1480000
1982.6.4,119.17,119.17,119.17,119.17,1730000
1982.6.5,119.01,119.01,119.01,119.01,705000
1982.6.7,120.79,120.79,120.79,120.79,1490000
1982.6.8,118.81,118.81,118.81,118.81,1260000
1982.6.9,117.45,117.45,117.45,117.45,1010000
1982.6.10,117.32,117.32,117.32,117.32,811000
1982.6.11,117.24,117.24,117.24,117.24,590000
1982.6.12,117.74,117.74,117.74,117.74,499000
